证券代码,日期,收入熵指标
#002345,2013,3.8656771756535013
#002345,2014,
#002345,2015,3.2995917596331212
#002345,2016,3.317404450353481
#002345,2017,
#002346,2009,2.6640366065999155
#002346,2011,3.697218614522326
#002346,2012,3.337115063280039
#002346,2013,3.699212521658765
#002346,2014,
#002348,2009,3.177829331545531
#002348,2010,3.1772068259612545
#002348,2011,2.996573530564162
#002348,2012,3.3681606793713414
#002348,2013,3.3640632194314843
#002352,2009,3.4094537240310894
#002352,2010,3.4078453135706352
#002352,2011,3.3807204409435068
#002352,2012,3.71897981335904
#002352,2013,3.7600827002491166
#002352,2014,
#002352,2015,3.054665415647411
#002355,2013,3.7569789364270583
#002355,2014,
#002363,2010,3.6529253554051557
#002363,2011,3.684098383877714
#002363,2012,3.780226892082617
#002363,2013,3.776784593582684
#002363,2014,
#002363,2015,
#002363,2016,3.1756213193236973
#002363,2017,
#002374,2011,3.4737894032429315
#002374,2012,3.5409462626217296
#002374,2013,3.507901263750896
#002378,2010,3.8533368777933057
#002378,2011,3.831260117261415
#002378,2012,3.862665161559165
#002378,2013,3.890420278106114
#002378,2014,
#002378,2016,3.2827542032169292
#002378,2017,
#002381,2014,
#002384,2011,3.682887111384666
#002384,2012,3.71705517181376
#002388,2015,3.295023393439021
#002388,2017,
#002389,2012,3.7088233595916456
#002389,2013,3.6304247400713785
#002389,2014,
#002392,2011,3.4932474497546733
#002392,2012,3.754203522550941
#002392,2013,3.7132921450482415
#002392,2014,
#002395,2013,3.843284275320944
#002395,2014,
#002395,2015,3.2401890570906895
#002395,2016,3.6757528073473105
#002395,2017,
#002403,2010,3.6073917486444724
#002403,2011,3.626250205610173
#002403,2012,3.7229330461683516
#002403,2013,3.7268085495721044
#002403,2014,
#002403,2017,
#002407,2010,3.7147452425802943
#002407,2011,3.7768087279183975
#002407,2012,3.827246052155171
#002407,2013,3.7514008627228126
#002409,2014,
#002422,2010,3.6758573280069275
#002422,2011,3.7741949143302227
#002422,2012,3.842623108948397
#002422,2013,3.7982958795163166
#002422,2014,
#002422,2015,3.2383132097914724
#002422,2016,3.2541681650204004
#002422,2017,
#002424,2012,3.8348916237933404
#002424,2013,3.8200581183581535
#002424,2014,
#002433,2010,3.6371561412330933
#002433,2011,3.7589876715882755
#002433,2012,3.8036624840920092
#002433,2013,3.833491976633238
#002433,2014,
#002433,2016,
#002433,2017,
#002435,2010,3.7752173925227273
#002435,2011,3.81357805989751
#002435,2012,3.8277574122126263
#002435,2013,3.829422082535021
#002435,2014,
#002440,2013,3.6405020756717437
#002440,2014,
#002441,2011,3.7381777912345484
#002441,2014,
#002441,2015,3.3935969442163194
#002441,2016,3.3817005947157632
#002441,2017,
#002447,2010,2.970867158183844
#002447,2011,2.964397506428776
#002450,2012,3.657504976483698
#002450,2013,3.6245554946240226
#002450,2014,
#002450,2015,
#002450,2016,2.8123149940297836
#002452,2011,3.94386914018458
#002452,2012,3.86569640733909
#002452,2013,3.9001011821957094
#002452,2014,
#002466,2016,3.040645444377342
#002466,2017,
#002473,2010,2.7563315300137057
#002473,2011,3.4882996403811815
#002473,2012,3.6692645215735453
#002473,2013,3.815263914992179
#002473,2014,
#002473,2015,3.2143099878430874
#002479,2012,3.7425147681727013
#002479,2013,3.793718368379018
#002482,2014,
#002482,2015,
#002482,2016,
#002488,2010,3.7072211568743754
#002488,2011,3.776326677753238
#002488,2012,3.797006315719475
#002488,2013,3.8255800414456154
#002488,2014,
#002488,2015,
#002488,2016,
#002488,2017,
#002490,2010,2.45946128289608
#002490,2011,3.43244542085478
#002490,2012,3.7588943773370755
#002490,2013,3.744565210896006
#002490,2014,
#002492,2012,3.7562104121542967
#002492,2013,3.7103626628947013
#002492,2014,
#002492,2015,3.2001875011905847
#002492,2017,
#002494,2010,3.3649500249508155
#002494,2011,3.3938436336278
#002494,2012,3.839354260705197
#002494,2013,3.8917722262744734
#002494,2014,
#002494,2015,
#002494,2016,
#002494,2017,
#002495,2010,2.4879872895963766
#002495,2011,3.166799590262453
#002495,2013,3.169232507913482
#002502,2010,2.654726977250682
#002502,2011,2.799757785922289
#002502,2012,3.8083045797984676
#002502,2013,3.820984292377133
#002502,2014,
#002506,2010,2.71094836253402
#002506,2011,2.7968384830139548
#002506,2012,3.771649348355516
#002506,2013,3.5776310153034014
#002508,2010,3.863385863866345
#002508,2011,3.9490606714231595
#002508,2012,3.8901144030155512
#002508,2013,3.8777217697046704
#002508,2014,
#002508,2015,3.264612346347391
#002508,2016,3.3399361123509412
#002508,2017,
#002511,2010,3.140274896707868
#002511,2011,3.05469243633543
#002511,2012,3.640171555231808
#002511,2013,3.5700246093215227
#002511,2014,
#002511,2015,3.0396979486567113
#002511,2016,3.0460402151095596
#002511,2017,
#002517,2010,3.390992261480918
#002517,2011,3.483769249628313
#002517,2012,3.7008639505328795
#002517,2013,3.673050451955873
#002517,2014,
#002517,2016,
#002521,2010,3.3002702167047575
#002521,2011,3.3823201402773946
#002521,2012,3.7274719921254706
#002521,2013,3.7401611772692043
#002521,2014,
#002521,2015,
#002526,2011,3.274953277758892
#002526,2012,3.876557870603401
#002526,2013,3.8714057372184407
#002526,2014,
#002529,2011,3.278974803926442
#002529,2012,3.375580112792309
#002529,2013,3.687235411805622
#002529,2014,
#002535,2011,3.8896555331889515
#002535,2012,3.977488681992719
#002535,2013,4.014876263442888
#002535,2014,
#002535,2015,3.554693917422971
#002535,2016,
#002535,2017,
#002538,2010,2.6970137546979664
#002538,2011,2.198741756886969
#002538,2013,3.0345680999297655
#002538,2014,
#002538,2015,
#002538,2016,
#002538,2017,
#002539,2010,3.349611544999822
#002539,2011,3.452277230335706
#002539,2012,3.744616359748933
#002539,2013,3.685682021461788
#002539,2014,
#002539,2015,
#002539,2016,3.4052975907483476
#002540,2011,3.3344719656136066
#002540,2012,3.6144402839977516
#002540,2013,3.764244064109872
#002543,2012,3.864318537535979
#002543,2013,3.8564095404418137
#002543,2014,
#002543,2015,3.1888167407315753
#002543,2016,3.174340600947545
#002543,2017,
#002550,2014,
#002552,2010,2.918990890551643
#002552,2011,3.724903039194476
#002552,2012,3.7293249831133033
#002552,2013,3.7321041928759437
#002552,2014,
#002552,2015,
#002552,2016,3.1034696081198634
#002552,2017,
#002553,2016,3.3374780985432047
#002553,2017,
#002555,2011,2.6359021170638757
#002555,2012,3.6920014838916724
#002555,2013,3.709477943138832
#002555,2014,
#002563,2011,3.984710519694156
#002563,2012,3.9115263348275358
#002563,2013,3.860188542286732
#002563,2014,
#002563,2015,3.07769555819523
#002563,2016,3.0772698375407943
#002563,2017,
#002569,2011,3.751900632568512
#002569,2014,
#002574,2011,3.3830131549284066
#002574,2012,3.6449689157519365
#002574,2013,3.6261608669811998
#002574,2014,
#002578,2012,3.7113831719959034
#002578,2013,3.726543114275153
#002578,2014,
#002578,2015,
#002578,2016,3.1027009892146156
#002578,2017,
#002584,2011,3.0469086018393177
#002584,2012,3.7286379095071562
#002584,2013,3.7053185795406134
#002584,2014,
#002584,2015,3.1813665412595746
#002584,2016,3.1681263602045613
#002585,2011,3.1154583013085766
#002585,2012,3.106713149834705
#002585,2013,3.688152661307207
#002585,2014,
#002585,2015,3.166954060522218
#002585,2016,3.167126226747197
#002585,2017,
#002588,2011,2.9072820622383846
#002588,2012,3.695282309182198
#002588,2013,3.68739295104586
#002588,2014,
#002590,2011,3.6323139349012177
#002590,2012,3.725785884481787
#002590,2013,3.729676471614016
#002590,2014,
#002590,2015,
#002591,2011,2.8670490520622196
#002591,2012,3.6270374798889646
#002591,2013,3.9766679375036853
#002591,2017,
#002592,2012,3.836121752271023
#002592,2013,3.837153043568155
#002597,2016,
#002597,2017,
#002600,2011,3.5092794394215856
#002600,2012,3.425304250465018
#002600,2013,3.7689984331427944
#002600,2014,
#002600,2015,
#002600,2016,
#002600,2017,
#002602,2011,3.518504926841926
#002602,2012,3.8823161222672633
#002602,2013,3.8750830334831674
#002602,2014,
#002603,2011,3.259756971385127
#002603,2012,3.6559328743219046
#002603,2013,3.653139365775007
#002603,2014,
#002605,2011,3.5364497416581147
#002605,2012,3.5942972378888554
#002605,2013,3.5629971254589923
#002605,2014,
#002605,2016,
#002605,2017,
#002606,2011,3.453124555266235
#002606,2012,3.7780847733126737
#002607,2011,2.8559812999598733
#002607,2012,3.358217463934963
#002607,2013,3.2675610141408664
#002607,2014,
#002607,2015,3.001021630268221
#002607,2016,3.078351153029853
#002607,2017,
#002615,2011,3.037147398032642
#002615,2012,3.774279648824854
#002615,2013,3.776247628447792
#002615,2014,
#002615,2015,3.251878276581773
#002615,2016,
#002615,2017,
#002617,2011,3.6249743452699827
#002617,2012,3.682974605300014
#002617,2013,3.692206156154107
#002617,2014,
#002617,2015,3.154257505514623
#002619,2011,3.74952270114167
#002619,2012,3.8022548934102023
#002619,2013,3.7761132585127193
#002619,2015,
#002619,2017,
#002621,2011,3.8840927912115224
#002621,2012,3.8807742600234647
#002621,2013,3.895113112351535
#002621,2014,
#002621,2015,2.959218040980342
#002621,2016,2.9084312226443902
#002621,2017,
#002622,2013,3.7265316795196988
#002622,2014,
#002622,2015,
#002624,2011,2.9755574803192126
#002624,2012,3.688104191731749
#002624,2013,3.6929388950664395
#002625,2011,2.994151813742806
#002625,2012,3.0004799285431507
#002625,2013,2.9906677464820555
#002625,2014,
#002633,2011,4.003314443959866
#002633,2012,4.019299566350669
#002633,2013,3.972049870972681
#002633,2014,
#002633,2015,3.4215187456262726
#002636,2012,3.570968925343794
#002636,2013,3.503542260755126
#002636,2014,
#002636,2017,
#002647,2011,3.253873205116326
#002647,2012,3.8020695512806304
#002647,2013,3.792534439937658
#002647,2014,
#002650,2011,3.500733528096184
#002650,2012,3.8264854654102023
#002650,2013,3.8180759447756496
#002650,2014,
#002651,2012,3.8680368697512737
#002651,2013,3.9218623637128363
#002651,2014,
#002651,2015,
#002651,2016,3.06301778751452
#002651,2017,
#002661,2012,3.889116940417958
#002661,2013,3.89492862841494
#002661,2014,
#002664,2012,3.8025974864669396
#002664,2013,3.813651290729514
#002664,2014,
#002664,2015,3.518819802042472
#002664,2016,3.091704740269552
